institution,cz_label,mean_completions,mean_airea_completions,mean_students_enrolled,rural,tribal,pct_airea_completions
Onondaga Community College,"Syracuse, NY",16.98113207547171,1.4895178197064955,10125.36477987421,0,2,0.0877160493827158
Orange Coast College,"Los Angeles, CA",22.797339246119638,3.0434589800443423,20633.408869179602,0,2,0.1335006224712111
Orange County Community College,"Poughkeepsie, NY",20.502752293577984,0.7321100917431207,6418.05137614679,0,2,0.03570789332378743
Orangeburg Calhoun Technical College,"Columbia, SC",12.318739054290715,2.894921190893168,2623.0770577933463,1,2,0.2350014216661927
Oregon Coast Community College,"Newport, OR & Lincoln City, OR",6.652406417112297,0.7112299465240643,461.47058823529414,1,2,0.10691318327974283
Otero College,"Colorado Springs, CO",26.36842105263158,0.052631578947368425,984.7894736842105,1,2,0.0019960079840319364
Otero Junior College,"Colorado Springs, CO",14.142465753424668,2.1232876712328803,1402.5452054794525,1,2,0.15013560635412646
Ouachita Technical College,"Hot Springs, AR",12.203703703703708,2.0925925925925912,1542,1,2,0.17147192716236706
Owens Community College,"Toledo, OH",13.833333333333327,2.4120879120879204,11424.468253968227,1,2,0.17436780087382564
Owensboro Community and Technical College,"Owensboro, KY",23.324647122692717,8.37676438653638,4505.980456026062,0,2,0.35913788287868953
Oxnard College,"Los Angeles, CA",20.92037228541871,2.753877973112729,7143.278179937948,0,2,0.13163618388531997
Ozarka College,"Batesville, AR",13.825892857142858,0.6227678571428582,1236.4821428571427,1,2,0.0450435905715209
Ozarks Technical Community College,"Springfield, MO",33.37241379310343,4.652216748768478,12705.195073891613,0,2,0.13940306438756553
Palau Community College,NA,3.5814606741573054,0.7612359550561799,579.4044943820222,0,2,0.21254901960784306
Palm Beach State College,"Palm Bay, FL & Port St. Lucie, FL",55.80675049635995,2.3004632693580396,28987.26935804104,0,2,0.04122195341776958
Palo Alto College,"San Antonio, TX",14.204415372036047,0.5985282093213395,9513.913327882257,0,2,0.04213677181671625
Palo Verde College,"Bakersfield, CA",13.390070921985815,1.83451536643026,3901.4680851063836,1,2,0.13700564971751414
Palomar College,"San Diego, CA",22.219211822659933,3.4827586206896584,23053.012315270917,0,2,0.1567453719099891
Pamlico Community College,"Jacksonville, NC",6.548856548856554,2.5862785862785884,492.7151767151765,1,2,0.39492063492063495
Panola College,"Longview, TX",20.65756302521008,3.7079831932773164,2545.4243697478987,1,2,0.17949761008847787
Paradise Valley Community College,"Phoenix, AZ",20.590825688073362,1.7944954128440405,7936.5458715596205,0,2,0.08715024059882406
Paris Junior College,"Greenville, TX & Paris, TX",13.705418719211824,2.9783251231527066,4982.408866995075,1,2,0.21731004241247912
Parkland College,"Champaign, IL & Bloomington, IL",13.616926503340748,3.617668893838144,7423.896065330362,0,2,0.2656744084614537
Pasadena City College,"Los Angeles, CA",37.102965864577506,6.163961947397881,25451.52490207053,0,2,0.1661312459466391
Pasco-Hernando Community College,"Tampa, FL",49.54748603351955,0.47486033519553084,10562.067039106147,0,2,0.009583944074867519
Pasco-Hernando State College,"Tampa, FL",37.42253521126762,0.4330985915492956,10878.639084507044,0,2,0.011573202860368828
Passaic County Community College,"Newark, NJ & Jersey City, NJ",22.417699115044204,0.192920353982301,6949.669026548665,0,2,0.008605716090320565
Patrick & Henry Community College,"Martinsville, VA",19.607142857142854,1.589285714285714,1896.5,1,2,0.08105646630236794
Patrick Henry Community College,"Martinsville, VA",15.489690721649488,1.6872852233676991,2619.3780068728524,1,2,0.10892956184137556
Paul D Camp Community College,"Virginia Beach, VA",9.821529745042492,0.8923512747875347,1374.5014164305956,1,2,0.09085664839919233
Pearl River Community College,"New Orleans, LA",21.502967359050444,4.091988130563796,4997.46290801187,1,2,0.19029876492099623
Pellissippi State Community College,"Knoxville, TN",52.11711711711705,1.032432432432434,10350.43603603604,1,2,0.019809853068280092
Peninsula College,"Port Angeles, WA",16.058894230769198,4.216346153846135,2227.0036057692305,1,2,0.26255519796422355
Pennsylvania Highlands Community College,"Altoona, PA",7.792452830188688,0.5974842767295596,2537.014675052411,0,2,0.07667473769168674
Pensacola State College,"Pensacola, FL",29.047441860465113,1.3348837209302298,10080.475348837212,0,2,0.04595529366553504
Phillips Community College of the University of Arkansas,"Forrest City, AR",7.755336617405581,1.3776683087027897,1719.0870279146131,1,2,0.1776413296633494
Phoenix College,"Phoenix, AZ",15.333869239013952,1.012861736334407,11313.196141479122,0,2,0.06605389158773989
Piedmont Community College,"Raleigh, NC",5.09350393700787,1.0777559055118047,1601.0009842519717,1,2,0.21159420289854966
Piedmont Technical College,"Greenville, SC",18.105614973262018,4.625668449197862,5343.985294117644,1,2,0.25548253710403923
Piedmont Virginia Community College,"Charlottesville, VA",25.721311475409806,1.6209016393442628,5429.276639344262,0,2,0.0630178457616317
Pierce College District,"Seattle, WA",36.08499999999999,1.7749999999999992,7937.6900000000005,0,2,0.049189413883885265
