cz,is_green_soc,year,num_postings
15,0,2015,44124
15,0,2016,40770
15,0,2017,36708
15,0,2018,46929
15,0,2019,48651
15,0,2020,50279
15,0,2021,64980
15,0,2022,67644
15,0,2023,70640
15,0,2024,71020
15,1,2010,6676
15,1,2011,6238
15,1,2012,6299
15,1,2013,7657
15,1,2014,8401
15,1,2015,5522
15,1,2016,3962
15,1,2017,3784
15,1,2018,5451
15,1,2019,6157
15,1,2020,5666
15,1,2021,7399
15,1,2022,7821
15,1,2023,8481
15,1,2024,8786
16,0,2010,2294
16,0,2011,1246
16,0,2012,1984
16,0,2013,1185
16,0,2014,1545
16,0,2015,1853
16,0,2016,2572
16,0,2017,2098
16,0,2018,1934
16,0,2019,1123
16,0,2020,1027
16,0,2021,1432
16,0,2022,2161
16,0,2023,1263
16,0,2024,1667
16,1,2010,170
16,1,2011,75
16,1,2012,243
16,1,2013,78
16,1,2014,136
16,1,2015,146
16,1,2016,140
16,1,2017,80
16,1,2018,102
16,1,2019,97
16,1,2020,67
16,1,2021,97
16,1,2022,199
16,1,2023,114
16,1,2024,127
17,0,2010,8
17,0,2011,9
17,0,2012,55
17,0,2013,12
17,0,2014,19
17,0,2015,43
17,0,2016,61
17,0,2017,107
17,0,2018,70
17,0,2019,28
17,0,2020,24
17,0,2021,22
17,0,2022,39
17,0,2023,47
17,0,2024,45
17,1,2010,1
17,1,2011,1
17,1,2012,20
17,1,2013,6
17,1,2014,6
17,1,2015,13
17,1,2016,17
17,1,2017,6
17,1,2018,15
17,1,2019,9
17,1,2020,5
17,1,2021,9
17,1,2022,11
17,1,2023,11
17,1,2024,13
18,0,2010,6916
18,0,2011,6384
18,0,2012,9456
18,0,2013,10093
18,0,2014,13151
18,0,2015,10268
18,0,2016,10664
18,0,2017,9625
18,0,2018,8456
18,0,2019,6484
18,0,2020,7003
18,0,2021,9236
18,0,2022,8715
18,0,2023,10466
18,0,2024,10712
18,1,2010,1154
18,1,2011,1177
18,1,2012,1396
18,1,2013,1399
18,1,2014,1634
18,1,2015,1233
18,1,2016,1010
18,1,2017,950
18,1,2018,996
18,1,2019,834
18,1,2020,915
18,1,2021,1331
18,1,2022,1508
18,1,2023,1630
18,1,2024,1554
19,0,2010,448
19,0,2011,210
19,0,2012,444
19,0,2013,236
19,0,2014,324
19,0,2015,268
19,0,2016,391
19,0,2017,533
19,0,2018,436
19,0,2019,386
19,0,2020,222
19,0,2021,201
19,0,2022,288
19,0,2023,319
19,0,2024,353
19,1,2010,59
19,1,2011,27
19,1,2012,84
19,1,2013,21
19,1,2014,50
19,1,2015,36
19,1,2016,30
19,1,2017,32
19,1,2018,39
19,1,2019,45
19,1,2020,38
19,1,2021,27
19,1,2022,28
19,1,2023,32
19,1,2024,44
20,0,2010,83
20,0,2011,28
20,0,2012,169
20,0,2013,108
20,0,2014,128
20,0,2015,120
20,0,2016,142
20,0,2017,208
20,0,2018,147
20,0,2019,81
20,0,2020,120
20,0,2021,145
20,0,2022,116
20,0,2023,179
20,0,2024,216
20,1,2010,10
20,1,2011,5
20,1,2012,16
20,1,2013,10
20,1,2014,14
20,1,2015,5
20,1,2016,14
20,1,2017,9
20,1,2018,12
20,1,2019,27
20,1,2020,12
20,1,2021,18
20,1,2022,20
20,1,2023,28
20,1,2024,27
21,0,2010,6480
21,0,2011,5811
21,0,2012,6920
21,0,2013,5674
21,0,2014,7687
21,0,2015,6578
21,0,2016,5485
21,0,2017,6540
21,0,2018,8754
21,0,2019,4999
21,0,2020,5399
21,0,2021,7331
21,0,2022,5064
21,0,2023,11424
21,0,2024,23071
21,1,2010,666
21,1,2011,747
21,1,2012,993
21,1,2013,618
21,1,2014,752
21,1,2015,714
21,1,2016,546
21,1,2017,719
21,1,2018,1154
21,1,2019,700
21,1,2020,681
21,1,2021,926
21,1,2022,652
21,1,2023,1555
21,1,2024,2837
22,0,2010,1123
22,0,2011,461
22,0,2012,1150
22,0,2013,1473
22,0,2014,2088
22,0,2015,1941
22,0,2016,2311
22,0,2017,2293
22,0,2018,1501
22,0,2019,1113
22,0,2020,1067
22,0,2021,1288
22,0,2022,1333
22,0,2023,1970
22,0,2024,2545
22,1,2010,85
22,1,2011,42
22,1,2012,69
22,1,2013,100
22,1,2014,141
22,1,2015,178
22,1,2016,139
22,1,2017,168
22,1,2018,144
22,1,2019,146
22,1,2020,115
22,1,2021,128
22,1,2022,143
22,1,2023,279
22,1,2024,288
23,0,2010,1340
23,0,2011,675
23,0,2012,477
23,0,2013,1192
23,0,2014,1716
23,0,2015,1477
23,0,2016,1484
23,0,2017,1361
23,0,2018,1255
23,0,2019,717
23,0,2020,628
23,0,2021,812
23,0,2022,1101
23,0,2023,1586
23,0,2024,1658
23,1,2010,118
23,1,2011,44
23,1,2012,63
23,1,2013,174
23,1,2014,192
23,1,2015,195
23,1,2016,147
23,1,2017,207
23,1,2018,120
23,1,2019,96
23,1,2020,69
23,1,2021,115
23,1,2022,203
23,1,2023,235
23,1,2024,185
24,0,2010,359
24,0,2011,165
24,0,2012,1006
24,0,2013,134
24,0,2014,231
24,0,2015,191
24,0,2016,580
24,0,2017,875
24,0,2018,577
24,0,2019,209
24,0,2020,147
24,0,2021,183
24,0,2022,303
24,0,2023,50
24,0,2024,75
24,1,2010,10
24,1,2011,20
24,1,2012,152
24,1,2013,6
24,1,2014,17
24,1,2015,11
24,1,2016,5
24,1,2017,1
24,1,2018,12
24,1,2019,4
24,1,2020,3
24,1,2021,4
24,1,2022,42
24,1,2023,38
24,1,2024,29
25,0,2010,39
25,0,2011,72
25,0,2012,423
25,0,2013,13
25,0,2014,44
25,0,2015,53
25,0,2016,280
25,0,2017,127
25,0,2018,94
25,0,2019,43
25,0,2020,72
25,0,2021,156
25,0,2022,76
25,0,2023,60
25,0,2024,118
25,1,2010,13
25,1,2011,18
25,1,2012,69
25,1,2013,9
25,1,2014,28
25,1,2015,44
25,1,2016,20
25,1,2017,10
25,1,2018,9
25,1,2019,9
25,1,2020,13
25,1,2021,27
25,1,2022,4
25,1,2023,7
25,1,2024,12
26,0,2010,1006
26,0,2011,577
26,0,2012,1056
26,0,2013,950
26,0,2014,1467
26,0,2015,1204
26,0,2016,1453
26,0,2017,1705
26,0,2018,1546
26,0,2019,1052
26,0,2020,688
26,0,2021,532
26,0,2022,925
26,0,2023,1017
26,0,2024,1321
26,1,2010,90
26,1,2011,34
26,1,2012,132
26,1,2013,60
26,1,2014,102
26,1,2015,67
26,1,2016,65
26,1,2017,62
26,1,2018,93
26,1,2019,95
26,1,2020,70
26,1,2021,46
26,1,2022,89
26,1,2023,71
26,1,2024,113
27,0,2010,806
27,0,2011,230
27,0,2012,1075
27,0,2013,1059
27,0,2014,1349
27,0,2015,1631
27,0,2016,1409
27,0,2017,1330
27,0,2018,1107
27,0,2019,842
27,0,2020,628
27,0,2021,564
27,0,2022,902
27,0,2023,881
27,0,2024,1101
27,1,2010,84
27,1,2011,21
27,1,2012,136
27,1,2013,167
27,1,2014,219
27,1,2015,161
27,1,2016,131
27,1,2017,122
27,1,2018,107
27,1,2019,49
27,1,2020,48
27,1,2021,40
27,1,2022,65
27,1,2023,91
27,1,2024,167
28,0,2010,972
28,0,2011,509
28,0,2012,994
28,0,2013,1406
28,0,2014,1403
28,0,2015,1371
28,0,2016,1896
28,0,2017,1600
28,0,2018,1572
28,0,2019,906
28,0,2020,1190
28,0,2021,1273
28,0,2022,1180
28,0,2023,2432
28,0,2024,3614
28,1,2010,75
28,1,2011,48
28,1,2012,137
28,1,2013,103
28,1,2014,136
28,1,2015,164
28,1,2016,99
28,1,2017,83
28,1,2018,132
28,1,2019,100
28,1,2020,92
28,1,2021,98
28,1,2022,115
28,1,2023,204
28,1,2024,207
29,0,2010,139
29,0,2011,53
29,0,2012,378
29,0,2013,215
29,0,2014,247
29,0,2015,249
29,0,2016,363
29,0,2017,538
29,0,2018,367
29,0,2019,207
29,0,2020,224
29,0,2021,222
29,0,2022,154
29,0,2023,307
29,0,2024,638
29,1,2010,20
29,1,2011,11
29,1,2012,79
29,1,2013,50
29,1,2014,37
29,1,2015,40
29,1,2016,70
29,1,2017,54
29,1,2018,50
29,1,2019,31
29,1,2020,20
29,1,2021,22
29,1,2022,28
29,1,2023,26
29,1,2024,51
30,0,2010,73
30,0,2011,56
30,0,2012,196
30,0,2013,90
30,0,2014,132
30,0,2015,214
30,0,2016,239
30,0,2017,182
30,0,2018,194
30,0,2019,122
30,0,2020,84
30,0,2021,51
30,0,2022,89
30,0,2023,111
30,0,2024,154
30,1,2010,8
30,1,2011,7
30,1,2012,26
30,1,2013,20
30,1,2014,26
30,1,2015,26
30,1,2016,23
30,1,2017,11
30,1,2018,12
30,1,2019,18
30,1,2020,23
30,1,2021,10
30,1,2022,11
30,1,2023,8
30,1,2024,19
31,0,2010,399
31,0,2011,230
31,0,2012,543
31,0,2013,355
31,0,2014,85
31,0,2015,83
31,0,2016,156
31,0,2017,187
31,0,2018,176
31,0,2019,117
31,0,2020,202
31,0,2021,328
31,0,2022,265
31,0,2023,343
31,0,2024,924
31,1,2010,31
31,1,2011,16
31,1,2012,55
31,1,2013,26
31,1,2014,18
31,1,2015,13
31,1,2016,27
31,1,2017,18
31,1,2018,22
31,1,2019,12
31,1,2020,14
31,1,2021,19
31,1,2022,20
31,1,2023,23
31,1,2024,48
32,0,2010,5771
32,0,2011,4613
32,0,2012,4507
32,0,2013,6978
32,0,2014,8129
32,0,2015,9347
32,0,2016,14563
32,0,2017,14764
32,0,2018,9644
32,0,2019,7241
32,0,2020,8976
32,0,2021,9439
32,0,2022,11299
32,0,2023,11882
32,0,2024,13237
32,1,2010,432
32,1,2011,584
32,1,2012,467
32,1,2013,643
32,1,2014,837
32,1,2015,780
32,1,2016,1034
32,1,2017,1100
32,1,2018,839
32,1,2019,610
32,1,2020,595
32,1,2021,841
32,1,2022,993
32,1,2023,1093
32,1,2024,1211
33,0,2010,44498
33,0,2011,50141
33,0,2012,42103
33,0,2013,69082
33,0,2014,76619
33,0,2015,73912
33,0,2016,80139
33,0,2017,72648
33,0,2018,102782
33,0,2019,115642
33,0,2020,117771
33,0,2021,144826
33,0,2022,157598
33,0,2023,122049
33,0,2024,108231
33,1,2010,6320
33,1,2011,7392
33,1,2012,6552
33,1,2013,9031
33,1,2014,9397
33,1,2015,8272
33,1,2016,8473
33,1,2017,8151
33,1,2018,12912
33,1,2019,14145
33,1,2020,14251
33,1,2021,19094
33,1,2022,21267
33,1,2023,15484
33,1,2024,13642
34,0,2010,11330
34,0,2011,12899
34,0,2012,10802
34,0,2013,23401
34,0,2014,21388
34,0,2015,18649
34,0,2016,21958
34,0,2017,20859
34,0,2018,18868
34,0,2019,19420
34,0,2020,23125
34,0,2021,33344
34,0,2022,39648
34,0,2023,31059
34,0,2024,27019
34,1,2010,1258
34,1,2011,1663
34,1,2012,1251
34,1,2013,2822
34,1,2014,2512
34,1,2015,1765
34,1,2016,2131
34,1,2017,1913
34,1,2018,1882
34,1,2019,1771
34,1,2020,1748
34,1,2021,3269
34,1,2022,3765
34,1,2023,2891
34,1,2024,2687
35,0,2010,172588
35,0,2011,296704
35,0,2012,220660
35,0,2013,259880
35,0,2014,323039
35,0,2015,432074
35,0,2016,406964
35,0,2017,430292
35,0,2018,584990
35,0,2019,656225
35,0,2020,701846
35,0,2021,854564
35,0,2022,930024
35,0,2023,632418
35,0,2024,575409
35,1,2010,21170
35,1,2011,40296
35,1,2012,31305
35,1,2013,30623
35,1,2014,36810
35,1,2015,46471
35,1,2016,43914
35,1,2017,47492
35,1,2018,74043
35,1,2019,84842
35,1,2020,87605
35,1,2021,104977
35,1,2022,119466
35,1,2023,86284
35,1,2024,81594
36,0,2010,2666
36,0,2011,2650
36,0,2012,3042
36,0,2013,4379
36,0,2014,3872
36,0,2015,3760
36,0,2016,4708
36,0,2017,4768
36,0,2018,4787
36,0,2019,3147
36,0,2020,3911
36,0,2021,4550
36,0,2022,4475
36,0,2023,6001
36,0,2024,4818
36,1,2010,541
36,1,2011,738
36,1,2012,1222
36,1,2013,878
36,1,2014,725
36,1,2015,501
36,1,2016,616
36,1,2017,675
36,1,2018,795
36,1,2019,481
36,1,2020,339
36,1,2021,711
36,1,2022,797
36,1,2023,941
36,1,2024,859
37,0,2010,533643
37,0,2011,651897
37,0,2012,640035
37,0,2013,872228
37,0,2014,860053
37,0,2015,1121995
37,0,2016,1205366
37,0,2017,1110252
37,0,2018,1666313
37,0,2019,1909321
37,0,2020,1736950
37,0,2021,2177189
37,0,2022,2418297
37,0,2023,1717610
37,0,2024,1516539
37,1,2010,77198
37,1,2011,95025
37,1,2012,95559
37,1,2013,118754
37,1,2014,114174
37,1,2015,141921
37,1,2016,149232
37,1,2017,133959
37,1,2018,217649
37,1,2019,253352
37,1,2020,223917
37,1,2021,273749
37,1,2022,309229
37,1,2023,211005
37,1,2024,188089
38,0,2010,6075
38,0,2011,5742
38,0,2012,5311
38,0,2013,13924
38,0,2014,12744
38,0,2015,10886
38,0,2016,13454
38,0,2017,11504
38,0,2018,11370
38,0,2019,11649
38,0,2020,12558
38,0,2021,13745
38,0,2022,15931
38,0,2023,13036
38,0,2024,12956
38,1,2010,695
38,1,2011,642
38,1,2012,750
38,1,2013,1504
38,1,2014,1284
38,1,2015,1063
38,1,2016,1303
38,1,2017,1091
38,1,2018,1199
38,1,2019,1134
38,1,2020,1013
38,1,2021,1269
38,1,2022,1294
38,1,2023,1091
38,1,2024,1110
39,0,2010,1481
39,0,2011,1109
39,0,2012,1771
39,0,2013,2534
39,0,2014,4416
39,0,2015,4398
39,0,2016,5458
39,0,2017,4487
39,0,2018,4320
39,0,2019,2515
39,0,2020,4570
39,0,2021,6297
39,0,2022,5254
39,0,2023,5064
39,0,2024,4712
39,1,2010,92
39,1,2011,107
39,1,2012,196
39,1,2013,250
39,1,2014,426
39,1,2015,398
39,1,2016,526
39,1,2017,305
39,1,2018,373
39,1,2019,271
39,1,2020,265
39,1,2021,543
39,1,2022,648
39,1,2023,685
39,1,2024,774
40,0,2010,2841
40,0,2011,3077
40,0,2012,5580
40,0,2013,4380
40,0,2014,5092
40,0,2015,5520
40,0,2016,7533
40,0,2017,6786
40,0,2018,6259
40,0,2019,4429
40,0,2020,6682
40,0,2021,9211
40,0,2022,8578
40,0,2023,7642
40,0,2024,7550
40,1,2010,364
40,1,2011,432
40,1,2012,539
40,1,2013,606
40,1,2014,631
40,1,2015,601
40,1,2016,788
40,1,2017,844
40,1,2018,986
40,1,2019,705
40,1,2020,576
40,1,2021,836
40,1,2022,1076
40,1,2023,915
40,1,2024,952
41,0,2010,986
41,0,2011,1109
41,0,2012,979
41,0,2013,1380
41,0,2014,1997
41,0,2015,2263
41,0,2016,2871
41,0,2017,2415
41,0,2018,2425
41,0,2019,1407
41,0,2020,2250
41,0,2021,2506
41,0,2022,2482
41,0,2023,2286
41,0,2024,2269
41,1,2010,100
41,1,2011,160
41,1,2012,165
41,1,2013,136
41,1,2014,204
41,1,2015,184
41,1,2016,251
41,1,2017,216
41,1,2018,250
41,1,2019,162
41,1,2020,139
41,1,2021,214
41,1,2022,289
41,1,2023,176
41,1,2024,232
42,0,2010,21285
42,0,2011,23706
42,0,2012,19657
42,0,2013,27756
42,0,2014,33244
42,0,2015,37608
42,0,2016,43913
42,0,2017,37016
42,0,2018,36067
42,0,2019,31949
42,0,2020,32712
42,0,2021,45694
42,0,2022,58476
42,0,2023,47806
42,0,2024,43694
42,1,2010,2158
42,1,2011,2750
42,1,2012,2081
42,1,2013,3078
42,1,2014,4139
42,1,2015,3916
42,1,2016,4569
42,1,2017,3584
42,1,2018,3954
42,1,2019,3220
42,1,2020,2853
42,1,2021,4610
42,1,2022,7620
42,1,2023,6105
42,1,2024,5749
43,0,2010,1048
43,0,2011,943
43,0,2012,1180
43,0,2013,1489
43,0,2014,2361
43,0,2015,2330
43,0,2016,3300
43,0,2017,2799
43,0,2018,3105
43,0,2019,1799
43,0,2020,2925
43,0,2021,3755
43,0,2022,2924
43,0,2023,2917
43,0,2024,2580
43,1,2010,61
43,1,2011,97
43,1,2012,106
43,1,2013,181
43,1,2014,280
43,1,2015,174
43,1,2016,274
43,1,2017,172
43,1,2018,215
43,1,2019,146
43,1,2020,151
43,1,2021,282
43,1,2022,338
43,1,2023,275
43,1,2024,268
44,0,2010,1283
44,0,2011,1193
44,0,2012,3380
44,0,2013,3059
44,0,2014,2869
44,0,2015,3399
44,0,2016,4030
44,0,2017,3593
44,0,2018,3466
44,0,2019,2478
44,0,2020,3981
44,0,2021,3870
44,0,2022,4076
44,0,2023,3294
44,0,2024,2947
44,1,2010,115
44,1,2011,191
44,1,2012,433
44,1,2013,528
44,1,2014,493
44,1,2015,556
44,1,2016,636
44,1,2017,566
44,1,2018,677
44,1,2019,741
44,1,2020,554
44,1,2021,710
44,1,2022,1027
44,1,2023,1033
44,1,2024,915
45,0,2010,3562
45,0,2011,3552
45,0,2012,7694
45,0,2013,7926
45,0,2014,7957
45,0,2015,10136
45,0,2016,13259
45,0,2017,10640
45,0,2018,9462
45,0,2019,7520
45,0,2020,9817
45,0,2021,12777
45,0,2022,12092
45,0,2023,11496
45,0,2024,11045
45,1,2010,351
45,1,2011,335
45,1,2012,658
45,1,2013,829
45,1,2014,811
45,1,2015,1007
45,1,2016,1282
45,1,2017,1100
45,1,2018,1042
45,1,2019,850
45,1,2020,829
45,1,2021,1420
45,1,2022,1483
45,1,2023,1471
45,1,2024,1354
46,0,2010,3989
46,0,2011,4332
46,0,2012,4300
46,0,2013,8933
46,0,2014,9400
46,0,2015,9497
46,0,2016,11955
46,0,2017,9863
46,0,2018,9520
46,0,2019,7704
46,0,2020,9362
46,0,2021,11639
46,0,2022,11532
46,0,2023,10312
46,0,2024,9807
46,1,2010,349
46,1,2011,566
46,1,2012,476
46,1,2013,1051
46,1,2014,1125
46,1,2015,1218
46,1,2016,1331
46,1,2017,878
46,1,2018,1021
46,1,2019,855
46,1,2020,727
46,1,2021,1194
46,1,2022,1472
46,1,2023,1263
46,1,2024,1121
47,0,2010,406
47,0,2011,338
47,0,2012,634
47,0,2013,706
47,0,2014,1080
47,0,2015,921
47,0,2016,1354
47,0,2017,1090
47,0,2018,1199
47,0,2019,591
47,0,2020,1111
47,0,2021,1437
47,0,2022,1325
47,0,2023,1165
47,0,2024,1136
47,1,2010,43
47,1,2011,51
47,1,2012,94
47,1,2013,115
47,1,2014,139
47,1,2015,99
47,1,2016,119
47,1,2017,76
47,1,2018,56
47,1,2019,47
47,1,2020,86
47,1,2021,107
47,1,2022,123
47,1,2023,76
47,1,2024,84
48,0,2010,273
48,0,2011,269
48,0,2012,1394
48,0,2013,707
48,0,2014,851
48,0,2015,933
48,0,2016,919
48,0,2017,861
48,0,2018,753
48,0,2019,511
48,0,2020,1076
48,0,2021,1021
48,0,2022,979
