# http://127.0.0.1:5790/ --workers 20 --loaded-duration-minutes 5 --output-dir loadtest-20
# {"appUrl":"http://127.0.0.1:5790/","debugLog":false,"loadedDurationMinutes":5.0,"logLevel":"WARN","outputDir":"loadtest-20","overwriteOutput":false,"receiveQueueSize":50,"recordingPath":"recording.log","workers":20}
session_id,worker_id,iteration,event,timestamp,input_line_number,comment
147,7,7,PLAYBACK_SLEEPBEFORE_START,1756905957429,76,
147,7,7,PLAYBACK_SLEEPBEFORE_END,1756905957430,76,
147,7,7,WS_SEND_START,1756905957430,76,
147,7,7,WS_SEND_END,1756905957430,76,
147,7,7,WS_SEND_START,1756905957430,77,
147,7,7,WS_SEND_END,1756905957430,77,
147,7,7,PLAYBACK_SLEEPBEFORE_START,1756905957430,78,
147,7,7,PLAYBACK_SLEEPBEFORE_END,1756905957432,78,
147,7,7,WS_SEND_START,1756905957432,78,
147,7,7,WS_SEND_END,1756905957432,78,
147,7,7,PLAYBACK_SLEEPBEFORE_START,1756905957432,79,
147,7,7,PLAYBACK_SLEEPBEFORE_END,1756905962711,79,
147,7,7,WS_SEND_START,1756905962711,79,
147,7,7,WS_SEND_END,1756905962711,79,
147,7,7,PLAYBACK_SLEEPBEFORE_START,1756905962712,80,
147,7,7,PLAYBACK_SLEEPBEFORE_END,1756905965517,80,
147,7,7,WS_CLOSE_START,1756905965518,80,
147,7,7,WS_CLOSE_END,1756905965518,80,
147,7,7,PLAYBACK_DONE,1756905965518,0,
